nid,title,collection,collection_folder
23953,"Mecom, Jane to Benjamin Franklin, 1779 September 12",Founder's,founders
23962,"Peters, Richard to Benjamin Franklin, 1780 April 28",Founder's,founders
40347,"Hewson, Mary Stevenson to Benjamin Franklin, 1782 April 25",Founder's,founders
30108,"Washington, George to Nathanael Greene, 1779 November 23",Founder's,founders
40352,"Morris, Robert to Benjamin Franklin, 1782 July 01",Founder's,founders
23976,"Mecom, Jane to Benjamin Franklin, 1779 February 14",Founder's,founders
23980,"Bache, Sarah Franklin to Benjamin Franklin, 1779 October 02",Founder's,founders
40366,"Hillegas, Michael to Benjamin Franklin, 1782 April 29",Founder's,founders
30130,"Washington, George to Nathanael Greene, 1779 March 2",Founder's,founders
40371,"Cooper, Samuel to Benjamin Franklin, 1782 June 15",Founder's,founders
23995,"Hopkinson, Francis to Benjamin Franklin, 1780 April 22",Founder's,founders
38336,"Franklin, Benjamin to Ebenezer Hazard, 1775 September 25",Founder's,founders
24001,"Matlack, Timothy to Benjamin Franklin, 1780 April 21",Founder's,founders
40386,"Price, Richard to Benjamin Franklin, 1782 January 07",Founder's,founders
40390,"Dumas, Charles-Guillaume-Frédéric to Benjamin Franklin, 1782 July 08",Founder's,founders
24012,"Franklin, Benjamin to [William Strahan], 1780 January 24",Founder's,founders
40398,"Greene, Catharine Ray to Benjamin Franklin, 1782 May 08",Founder's,founders
24018,"Hewson, Mary Stevenson to Benjamin Franklin, 1780 July 02",Founder's,founders
40403,"Bondfield, John to Benjamin Franklin, 1782 March 24",Founder's,founders
24021,"Bache, Richard to Benjamin Franklin, 1779 November 02",Founder's,founders
40408,"Bondfield, John to Benjamin Franklin, 1782 April 13",Founder's,founders
24027,"Franklin, Benjamin to Jonathan Williams, Jr., 1780 February 14",Founder's,founders
24032,"Bache, Richard to Benjamin Franklin, 1779 April 07",Founder's,founders
40416,"Mildred, Daniel to Benjamin Franklin, 1782 July 16",Founder's,founders
40421,"Barclay, Thomas to Benjamin Franklin, 1782 April 22",Founder's,founders
30186,"Washington, George to Nathanael Greene, 1780 January 30",Founder's,founders
24043,"Bache, Sarah Franklin to Benjamin Franklin, 1779 November 14",Founder's,founders
40426,"Vaughan, Benjamin to Benjamin Franklin, 1782 January 09",Founder's,founders
40433,"Barclay, Thomas to Benjamin Franklin, 1782 August 12",Founder's,founders
24054,"Bache, Richard to Benjamin Franklin, 1777 June 20",Founder's,founders
30200,"Washington, George to Nathanael Greene, 1780 January 24",Founder's,founders
24058,"Hewson, Mary Stevenson to Benjamin Franklin, 1778 April 27",Founder's,founders
24065,"Williams, D. to Benjamin Franklin, 1778 September 04",Founder's,founders
30213,"Washington, George to Nathanael Greene, 1779 December 23",Founder's,founders
24073,"Lee, Arthur to Benjamin Franklin, 1777 November 08",Founder's,founders
30219,"Washington, George to Nathanael Greene, 1779 October 31",Founder's,founders
24076,"Hewson, Mary Stevenson to Benjamin Franklin, 1778 March 11",Founder's,founders
40462,"Barclay, Thomas to Benjamin Franklin, 1782 March 23",Founder's,founders
24081,"Feutry, Aimé Ambroise Joseph to Benjamin Franklin, 1777 November 14",Founder's,founders
24084,"Franklin, William to Benjamin Franklin, 1774 December 24",Founder's,founders
40469,"Dumas, Charles-Guillaume-Frédéric to Benjamin Franklin, 1782 March 29",Founder's,founders
26134,"Washington, George to David Forman, 1781 September 2",Founder's,founders
40474,"Vaughan, Benjamin to Benjamin Franklin, 1782 January 03",Founder's,founders
24104,"Paine, Thomas and James Lovell to Benjamin Franklin , 1777 July 09",Founder's,founders
40490,"Bache, Richard to Benjamin Franklin, 1782 May 20",Founder's,founders
24109,"Coder, Henry to Benjamin Franklin, 1777 October 12",Founder's,founders
40495,"Vaughan, William to Benjamin Franklin, 1782 August 01",Founder's,founders
40500,"Barclay, Thomas to Benjamin Franklin, 1782 June 17",Founder's,founders
24123,"Barbeu Du Bourg, M. (Jacques) to Benjamin Franklin, 1778 January 03",Founder's,founders
40510,"Dumas, Charles-Guillaume-Frédéric to Benjamin Franklin, 1782 May 30",Founder's,founders
24128,"Deane, Silas to Benjamin Franklin, 1778 January 08",Founder's,founders
40523,"Bache, Richard to Benjamin Franklin, 1782 August 09",Founder's,founders
24140,"Mecom, Jane to Benjamin Franklin, 1778 August 15",Founder's,founders
40526,"Barclay, Thomas to Benjamin Franklin, 1782 April 25",Founder's,founders
24145,"Lee, Arthur to Benjamin Franklin, 1778 March 13",Founder's,founders
40531,"Dumas, Charles-Guillaume-Frédéric to Benjamin Franklin, 1782 April 15",Founder's,founders
24151,"Greene, Catharine Ray to Benjamin Franklin, 1776 July 03",Founder's,founders
40536,"Morris, Robert to Benjamin Franklin, 1782 May 29",Founder's,founders
24156,"Lee, Arthur to Benjamin Franklin, 1778 March 16",Founder's,founders
24161,"Paine, Thomas to Benjamin Franklin, 1778 October 24",Founder's,founders
24166,"Partridge, Elizabeth Hubbart to Benjamin Franklin, 1777 October 28",Founder's,founders
40550,"Dumas, Charles-Guillaume-Frédéric to Benjamin Franklin, 1782 June 28",Founder's,founders
40555,"Bache, Richard to Benjamin Franklin, 1782 January 09",Founder's,founders
28268,"Williams, Jonathan to William Temple Franklin, 1783 February 15",Founder's,founders
40563,"Morris, Robert to Benjamin Franklin, 1782 May 23",Founder's,founders
24180,"Franklin, Elizabeth to Benjamin Franklin, 1776 August 06",Founder's,founders
28283,"Lebègue de Presle, Achille-Guillaume to William Temple Franklin, 1782 September 2",Founder's,founders
24189,"Hewson, Mary Stevenson to Benjamin Franklin, 1778 June 18",Founder's,founders
40576,"Bondfield, John to Benjamin Franklin, 1782 March 20",Founder's,founders
40584,"Barclay, Thomas to Benjamin Franklin, 1782 June 27",Founder's,founders
40589,"Morris, Robert to Benjamin Franklin, 1782 May 29",Founder's,founders
40601,"Morris, Robert to Benjamin Franklin, 1782 July 05",Founder's,founders
40623,"Jones, William to Benjamin Franklin, 1782 August 05",Founder's,founders
24242,"Partridge, Elizabeth Hubbart to Benjamin Franklin, 1778 October 24",Founder's,founders
40628,"Jones, William to Benjamin Franklin, 1782 March 05",Founder's,founders
30391,"Washington, George to Nathanael Greene, 1780 February 8",Founder's,founders
40633,"Morris, Robert to George Washington, 1782 August 30",Founder's,founders
40648,"Dumas, Charles-Guillaume-Frédéric to Benjamin Franklin, 1782 May 14",Founder's,founders
24266,"Washington, George to Charles Scott, 1779 October 19",Founder's,founders
40653,"Morris, Robert to George Washington, 1782 September 09",Founder's,founders
24274,"Hillegas, Michael to Benjamin Franklin, 1777 July 17",Founder's,founders
40658,"Bache, Richard to Benjamin Franklin, 1782 February 09",Founder's,founders
24277,"Packet Service Contract, 1777 April 01",Founder's,founders
40664,"Greene, William and Catharine Ray Greene to Benjamin Franklin, 1782 June 25",Founder's,founders
24282,"Wharton, Samuel to Benjamin Franklin, 1776 December 21",Founder's,founders
40669,"Vaughan, Benjamin to Benjamin Franklin, 1782 February 05",Founder's,founders
32478,"Mitchell, John to George Washington, 1779 December 17",Founder's,founders
24290,"Greene, Catharine Ray to Benjamin Franklin, 1776 October 01",Founder's,founders
24294,"Bachelier, Jean-Jacques to Benjamin Franklin, 1777 December 09",Founder's,founders
28393,"Robeson, William to William Temple Franklin, 1781 September 11",Founder's,founders
18166,"Franklin, Benjamin to Ebenezer Hazard, 1783 December 26",Founder's,founders
24314,"Rocquette, J. to Benjamin Franklin, Silas Deane, and Arthur Lee, 1778 March 20",Founder's,founders
24318,"Faudoas, Boulainvilliers to Benjamin Franklin, 1777 December 05",Founder's,founders
24321,"Hewson, Mary Stevenson to Benjamin Franklin, 1778 April 25",Founder's,founders
24326,"Mecom, Jane to Benjamin Franklin, 1775 July 14 - 1775 July 19",Founder's,founders
24333,"Wharton, Samuel to [Benjamin Franklin], 1777 January 17",Founder's,founders
24341,"United States. Committee for Foreign Affairs to Benjamin Franklin, 1778 October 28",Founder's,founders
24354,"Washington George to Robert Morris, 1776 December 14",Founder's,founders
24365,"Bache, Richard to Benjamin Franklin, 1777 July 01",Founder's,founders
28466,"Watson, Elkanah to William Temple Franklin, 1782 December 25",Founder's,founders
24373,"Paine, Thomas to Benjamin Franklin, 1777 June 20",Founder's,founders
40793,"Hopkinson, Francis to Benjamin Franklin, 1781 November 30",Founder's,founders
24417,"Wharton, Samuel to Benjamin Franklin, 1778 January 03",Founder's,founders
24424,"Bache, Richard to Benjamin Franklin, 1774 December 24",Founder's,founders
24436,"Bache, Richard to Benjamin Franklin, 1778 July 14",Founder's,founders
40825,"Hillegas, Michael to Benjamin Franklin, 1781 December 28",Founder's,founders
24444,"Washington, George to the Pennsylvania Council of Safety, 1776 December 18",Founder's,founders
24447,"Bache, Richard to Benjamin Franklin, 1777 March 10",Founder's,founders
24454,"Hillegas, Michael to Benjamin Franklin, 1777 June 05",Founder's,founders
40851,"Vaughan, Benjamin to Benjamin Franklin, 1781 October 20",Founder's,founders
24468,"Buffon, George Louis Leclerc, Comte de to Benjamin Franklin, 1777 November 02",Founder's,founders
24483,"Fleury, Berthérand de to Benjamin Franklin, 1777 December 02",Founder's,founders
40869,"Jenifer, Daniel of St. Thomas to Benjamin Franklin, 1781 September 05",Founder's,founders
24489,"Ruault, Nicolas to Benjamin Franklin, 1777 October 12",Founder's,founders
18373,"Washington, George to Ebenezer Hazard, 1782",Founder's,founders
40908,"Hopkinson, Francis to Benjamin Franklin, 1781 October 03",Founder's,founders
30670,"Washington, George to Nathanael Greene, 1779 May 19",Founder's,founders
20431,"[Cadwalader, John] to George Washington, 1781 June 5",Founder's,founders
20436,"Washington, George to John Cadwalader, 1776 December 24",Founder's,founders
40920,"Gouverneur, Isaac and Samuel Curson to Benjamin Franklin, 1781 December 20",Founder's,founders
24542,"Washington, George to Jacob Read, 1784 February 12",Founder's,founders
40931,"Partridge, Elizabeth Hubbart to Benjamin Franklin, 1781 December 06",Founder's,founders
40949,"Mecom, Jane to Benjamin Franklin, 1781 October 29",Founder's,founders
38911,"Todd, Anthony to [Benjamin Franklin], 1783 June 25",Founder's,founders
